2,1,"2012-09-03 03:51:36","2012-09-03 03:51:36","This is an example page. It's different from a blog post because it will stay in one place and will show up in your site navigation (in most themes). Most people start with an About page that introduces them to potential site visitors. It might say something like this:\
\
<blockquote>Hi there! I'm a bike messenger by day, aspiring actor by night, and this is my blog. I live in Los Angeles, have a great dog named Jack, and I like pi&#241;a coladas. (And gettin' caught in the rain.)</blockquote>\
\
...or something like this:\
\
<blockquote>The XYZ Doohickey Company was founded in 1971, and has been providing quality doohickies to the public ever since. Located in Gotham City, XYZ employs over 2,000 people and does all kinds of awesome things for the Gotham community.</blockquote>\
\
As a new WordPress user, you should go to <a href=\"http://bearl.me/wp-admin/\">your dashboard</a> to delete this page and create new pages for your content. Have fun!","Sample Page","","publish","open","open","","sample-page","","","2012-09-03 03:51:36","2012-09-03 03:51:36","",0,"http://bearl.me/?page_id=2",0,"page","",0
8,1,"2012-09-03 22:15:15","2012-09-04 03:15:15","Welcome to my little corner of the internet, I figure it is about time that I start a new blog detailing my life, the technology I use, and my ideas about a wide array of things.  In this blog I hope to discuss technology, challenges that I have faced in technology (and the solutions I found to those problems), and anything else that happens to come to mind.  My picture for this blog (and the domain as a whole) is to be a chronicle of my professional experiences, interlaced with a dash of my personality.\
\
To that end, it should be noted that I am a fairly avid Linux user, who is currently making the transition to OS X, so I will probably discuss a fair amount of detail on the LAMP stack, in addition to related technologies.  I do love python, but have been thinking about doing my next project in ruby on rails due to how much noise that software has generated.  As I flesh out this blog, I will be adding more details about projects I have worked on in the past, and possibly some speculation about the projects I would like to do in the future.","New Blog","","publish","open","open","","new-blog","","","2012-09-03 22:15:15","2012-09-04 03:15:15","",0,"http://bearl.me/?p=8",0,"post","",0
9,1,"2012-09-03 22:14:51","2012-09-04 03:14:51","","Auto Draft","","inherit","open","open","","8-revision","","","2012-09-03 22:14:51","2012-09-04 03:14:51","",8,"http://bearl.me/8-revision/",0,"revision","",0
10,1,"2012-09-03 22:15:02","2012-09-04 03:15:02","Welcome to my little corner of the internet, I figure it is about time that I start a new blog detailing my life, the technology I use, and my ideas about a wide array of things.  In this blog I hope to discuss technology, challenges that I have faced in technology (and the solutions I found to those problems), and anything else that happens to come to mind.  My picture for this blog (and the domain as a whole) is to be a chronicle of my professional experiences, interlaced with a dash of my personality.\
\
To that end, it should be noted that I am a fairly avid Linux user, who is currently making the transition to OS X, so I will probably discuss a fair amount of detail on the LAMP stack, in addition to related technologies.  I do love python, but have been thinking about doing my next project in ruby on rails due to how much noise that software has generated.  As I flesh out this blog, I will be adding more details about projects I have worked on in the past, and possibly some speculation about the projects I would like to do in the future.","New Blog","","inherit","open","open","","8-revision-2","","","2012-09-03 22:15:02","2012-09-04 03:15:02","",8,"http://bearl.me/8-revision-2/",0,"revision","",0
11,1,"2012-09-03 22:15:10","2012-09-04 03:15:10","Welcome to my little corner of the internet, I figure it is about time that I start a new blog detailing my life, the technology I use, and my ideas about a wide array of things.  In this blog I hope to discuss technology, challenges that I have faced in technology (and the solutions I found to those problems), and anything else that happens to come to mind.  My picture for this blog (and the domain as a whole) is to be a chronicle of my professional experiences, interlaced with a dash of my personality.\
\
To that end, it should be noted that I am a fairly avid Linux user, who is currently making the transition to OS X, so I will probably discuss a fair amount of detail on the LAMP stack, in addition to related technologies.  I do love python, but have been thinking about doing my next project in ruby on rails due to how much noise that software has generated.  As I flesh out this blog, I will be adding more details about projects I have worked on in the past, and possibly some speculation about the projects I would like to do in the future.","New Blog","","inherit","open","open","","8-revision-3","","","2012-09-03 22:15:10","2012-09-04 03:15:10","",8,"http://bearl.me/8-revision-3/",0,"revision","",0
12,1,"2012-09-03 22:16:17","2012-09-04 03:16:17","Welcome to my little corner of the internet, I figure it is about time that I start a new blog detailing my life, the technology I use, and my ideas about a wide array of things.  In this blog I hope to discuss technology, challenges that I have faced in technology (and the solutions I found to those problems), and anything else that happens to come to mind.  My picture for this blog (and the domain as a whole) is to be a chronicle of my professional experiences, interlaced with a dash of my personality.\
\
To that end, it should be noted that I am a fairly avid Linux user, who is currently making the transition to OS X, so I will probably discuss a fair amount of detail on the LAMP stack, in addition to related technologies.  I do love python, but have been thinking about doing my next project in ruby on rails due to how much noise that software has generated.  As I flesh out this blog, I will be adding more details about projects I have worked on in the past, and possibly some speculation about the projects I would like to do in the future.","New Blog","","inherit","open","open","","8-autosave","","","2012-09-03 22:16:17","2012-09-04 03:16:17","",8,"http://bearl.me/8-autosave/",0,"revision","",0
15,1,"2012-09-18 21:55:52","2012-09-19 02:55:52","This page is a placeholder for my mysqlbak application that I am currently developing.  It is a simple app which makes use of the python MySQL bindings to create a backup of a MySQL database and optionally other specific assets (i.e. for a WordPress install), will compress everything and version it all with rolling deletions.","MySQLBak","","publish","open","open","","mysqlbak","","","2012-09-18 21:55:52","2012-09-19 02:55:52","",0,"http://bearl.me/?page_id=15",0,"page","",0
16,1,"2012-09-18 21:54:44","2012-09-19 02:54:44","This page is a placeholder for my mysqlbak application that I am currently developing.  It is a simple app which makes use of the python MySQL bindings to create a backup of a MyS","MySQLBak","","inherit","open","open","","15-revision","","","2012-09-18 21:54:44","2012-09-19 02:54:44","",15,"http://bearl.me/2012/09/18/15-revision/",0,"revision","",0
17,1,"2012-09-18 21:55:45","2012-09-19 02:55:45","This page is a placeholder for my mysqlbak application that I am currently developing.  It is a simple app which makes use of the python MySQL bindings to create a backup of a MySQL database and optionally other specific assets (i.e. for a wordpress install), will compress everything and version it all with rolling deletions.","MySQLBak","","inherit","open","open","","15-revision-2","","","2012-09-18 21:55:45","2012-09-19 02:55:45","",15,"http://bearl.me/2012/09/18/15-revision-2/",0,"revision","",0
18,1,"2012-09-18 23:57:28","2012-09-19 04:57:28","So I decided to write a little tool which will automatically backup my WordPress install to Dropbox (plus it is a fun chance to play around with the Dropbox Python API).  So far tonight I have managed to get to the point where I am passing a directory, and having python zip up all of the files in the directory.  In the long run this approach will probably change as it requires all of the data to be both in its production location and in the location for the backup (you can probably see why that is annoying).\
\
Overall, I am pretty impressed by how easy this entire process has been, the only major hiccup I had was accidentally calling the function which generates the full path + archive name as the name of the archive that Dropbox is supposed to store (for some reason Dropbox blew up a little bit when I wanted it to create /Users/lbearl/.../projects/mysqlbak without requesting any directories be created).\
\
After I finish up the code (and clean it up a lot), and do some basic refactoring (like removing the app secret), I will probably publish the code to Github. After that happens I will write part two of this entry, and probably include a bit more technical discussion about my approach.","MySQLBak Part One","","publish","open","open","","mysqlbak-part-one","","","2012-09-18 23:57:28","2012-09-19 04:57:28","",0,"http://bearl.me/?p=18",0,"post","",0
